step,time,energy,hydration,meal_size
1,600.0,0,0,0.0
2,1200.0,0,0,0.0
3,1800.0,0,0,0.0
4,2400.0,0,0,0.0
5,3000.0,0,0,0.0
6,3600.0,0,0,0.0
7,4200.0,0,0,0.0
8,4800.0,0,0,0.0
9,5400.0,0,0,0.0
10,6000.0,0,0,0.0
11,6600.0,0,0,0.0
12,7200.0,0,0,0.0
13,7800.0,0,0,0.0
14,8400.0,0,0,0.0
15,9000.0,0,0,0.0
16,9600.0,0,0,0.0
17,10200.0,0,0,0.0
18,10800.0,0,0,0.0
19,11400.0,0,0,0.0
20,12000.0,0,0,0.0
21,12600.0,0,0,0.0
22,13200.0,0,0,0.0
23,13800.0,0,0,0.0
24,14400.0,0,0,0.0
25,15000.0,0,0,0.0
26,15600.0,0,0,0.0
27,16200.0,0,0,0.0
28,16800.0,0,0,0.0
29,17400.0,0,0,0.0
30,18000.0,0,0,0.0
31,18600.0,0,0,0.0
32,19200.0,0,0,0.0
33,19800.0,0,0,0.0
34,20400.0,0,0,0.0
35,21000.0,0,0,0.0
36,21600.0,0,0,0.0
37,22200.0,0,0,0.0
38,22800.0,0,0,0.0
39,23400.0,0,0,0.0
40,24000.0,0,0,0.0
41,24600.0,0,0,0.0
42,25200.0,0,0,0.0
43,25800.0,0,0,0.0
44,26400.0,0,0,0.0
45,27000.0,0,0,0.0
46,27600.0,0,0,0.0
47,28200.0,0,0,0.0
48,28800.0,0,0,0.0
49,29400.0,0,0,0.0
50,30000.0,0,0,0.0
51,30600.0,0,0,0.0
52,31200.0,0,0,0.0
53,31800.0,0,0,0.0
54,32400.0,0,0,0.0
55,33000.0,0,0,0.0
56,33600.0,0,0,0.0
57,34200.0,0,0,0.0
58,34800.0,0,0,0.0
59,35400.0,0,0,0.0
60,36000.0,0,0,0.0
61,36600.0,0,0,0.0
62,37200.0,0,0,0.0
63,37800.0,0,0,0.0
64,38400.0,0,0,0.0
65,39000.0,0,0,0.0
66,39600.0,0,0,0.0
67,40200.0,0,0,0.0
68,40800.0,0,0,0.0
69,41400.0,0,0,0.0
70,42000.0,0,0,0.0
71,42600.0,0,0,0.0
72,43200.0,0,0,0.0
73,43800.0,0,0,0.0
74,44400.0,0,0,0.0
75,45000.0,0,0,0.0
76,45600.0,0,0,0.0
77,46200.0,0,0,0.0
78,46800.0,0,0,0.0
79,47400.0,0,0,0.0
80,48000.0,0,0,0.0
81,48600.0,0,0,0.0
82,49200.0,0,0,0.0
83,49800.0,0,0,0.0
84,50400.0,0,0,0.0
85,51000.0,0,0,0.0
86,51600.0,0,0,0.0
87,52200.0,0,0,0.0
88,52800.0,0,0,0.0
89,53400.0,0,0,0.0
90,54000.0,0,0,0.0
91,54600.0,0,0,0.0
92,55200.0,0,0,0.0
93,55800.0,0,0,0.0
94,56400.0,0,0,0.0
95,57000.0,0,0,0.0
96,57600.0,0,0,0.0
97,58200.0,0,0,0.0
98,58800.0,0,0,0.0
99,59400.0,0,0,0.0
100,60000.0,0,0,0.0
101,60600.0,0,0,0.0
102,61200.0,0,0,0.0
103,61800.0,0,0,0.0
104,62400.0,0,0,0.0
105,63000.0,0,0,0.0
106,63600.0,0,0,0.0
107,64200.0,0,0,0.0
108,64800.0,0,0,0.0
109,65400.0,0,0,0.0
110,66000.0,0,0,0.0
111,66600.0,0,0,0.0
112,67200.0,0,0,0.0
113,67800.0,0,0,0.0
114,68400.0,0,0,0.0
115,69000.0,0,0,0.0
116,69600.0,0,0,0.0
117,70200.0,0,0,0.0
118,70800.0,0,0,0.0
119,71400.0,0,0,0.0
120,72000.0,0,0,0.0
121,72600.0,0,0,0.0
122,73200.0,0,0,0.0
123,73800.0,0,0,0.0
124,74400.0,0,0,0.0
125,75000.0,0,0,0.0
126,75600.0,0,0,0.0
127,76200.0,0,0,0.0
128,76800.0,0,0,0.0
129,77400.0,0,0,0.0
130,78000.0,0,0,0.0
131,78600.0,0,0,0.0
132,79200.0,0,0,0.0
133,79800.0,0,0,0.0
134,80400.0,0,0,0.0
135,81000.0,0,0,0.0
136,81600.0,0,0,0.0
137,82200.0,0,0,0.0
138,82800.0,0,0,0.0
139,83400.0,0,0,0.0
140,84000.0,0,0,0.0
141,84600.0,0,0,0.0
142,85200.0,0,0,0.0
143,85800.0,0,0,0.0
144,86400.0,0,0,0.0
